Alfredo
Apple juice
Bacon
Bacon sandwich
Bagel
Banana
BBQ chicken salad
Beef
Beer
Beetroot
BLT
Bolognese sauce and pasta
Bread
Breaded chicken
Broccoli
Brussels sprouts
Burger
Burritos
Cabbage
Calzones
Cereal
Cereal Bar
Cheese sandwich
Chicken Alfredo
Chicken and rice
Chicken fingers
Chicken noodle soup
Chicken nuggets
Chicken pie
Chicken soup
Chicken wings
Chicken wrap
Club salad
Coffee
Crab cakes
Cranberry juice
Creamy potato soup
Croissant
Egg
Egg mayo sandwich
Egg sandwich
Enchiladas
Energy drink
English muffin
Eton mess
Fajitas
Fish and chips
Fish cakes
Fried egg
Granola
Grapefruit juice
Grilled steak
Ham
Ham sandwich
Hash browns
Hot chocolate
Hot dog
Jam
Kebab
Lasagna
Lemon chicken
Lemon juice
Lettuce
Mac and cheese
McMuffin
Meatball sub
Meatballs
Milk
Minestrone soup
Muffin
Mushrooms
Omelette
Orange juice
Pad Thai
Pancakes
Papaya
Peas
Pie
Pineapple juice
Pizza
Poached egg
Pork chops
Porridge
Potato
Rødgrød
Red spinach
Roast dinner
Salad
Salmon
Sausage
Scone
Scrambled egg
Shepherd's pie
Smoked salmon
Soft drink
Sour cabbage
Soy milk
Sparkling water
Spinach
Steak
Stir fry
Stuffed pork chops
Sweet Potato
Tacos
Tea
Toast
Tomato
Tomato bisque
Tomato juice
Tomato soup
Turnip
Vegetable lasagna
Waffle
Water
